name,actualCost,price,category,isActive,isPublic,testName,testUnit,testReferenceRange,medicineGenericName,medicineForm,medicineManufacturer,medicineDoseDirection,medicineRoute,medicineDirection
Acid Phosphatase,0,0,investigation,yes,yes,Acid Phosphatase  non Prostatic,ng/mL,ng/mL,,,,,,
Acid Phosphatase,0,0,investigation,yes,yes,Acid Phosphatase  Prostatic,ng/mL,0-0.8 U/L or <2.1 ng/mL,,,,,,
Acid Phosphatase,0,0,investigation,yes,yes,Acid Phosphatase Total,ng/mL,2.5 to 3.7 ng /mL;or 2.5 to 3.7 microg /L,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Bronchoscopy,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,CLO Test,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Colonoscopy Full,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Colonoscopy Short,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Colonoscopy with Polypectomy,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy and Band Ligation,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy and Oesophageal ballon dilatation,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy and Oesophageal Stenting,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy and Polypectomy,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy and Sclero therapy of Oesophageal Varices,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy of Upper GIT,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy Under Sedation,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,ENDOSCOPY GUIDED FEEDING TUBE INTRODUCTION,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED ESOPHAGEAL STENTING,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED PEG Tube Insertion,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED PEJ Tube Insertion,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED EST,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED EVL,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED Baloon Dilatation,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED Salivary gland Dilatation,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED Foreign Body Removal,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED REMOVAL OF UPPER G.I. POLYP,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED HAEMOSTASIS,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Endoscopy GUIDED DUODENAL DILATATION,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Proctoscopy,,,,,,,,
Bronchoscopy/Colonoscopy/Endoscopy,0,0,investigation,yes,yes,Sigmoidoscopy,,,,,,,,
CANCER MARKER,0,0,investigation,yes,yes,AFP (Alpha Feto Protein),µgm/L,0-40 ng/mL(nanogram/ml) or µgm/L(microgram/L) (µgm/L) for Men and nonpregnant women;10-150 nanogram/ml or microgram/L (µgm/L) for  Women 15-18 week pregnant;,,,,,,
CANCER MARKER,0,0,investigation,yes,yes,B2-Microglobulin,µgm/L,0-3 µgm/L(microgram/mL),,,,,,
CANCER MARKER,0,0,investigation,yes,yes,BHCG (Beta-Human Chorionic Gonadotropin),mIU/mL,"0.5-2.9 negative; 2.9-5 Borderline; Positive >5.0; 500-10000 mIU/ml in 3-4 weeks; 1000-50000 mIU/ml in 4-5 weeks; 10000-100000 mIU/ml in 5-6 weeks; 15000-200000 mIU/ml in 6-8 weeks;10000-100000 mIU/ml in 8-12 weeks; intrauterine structure that must be seen : >100 (intrauterine sac), >7200 (Intra-uterine gestation sac with yolk sac), >12,800 (Intra-uterine gestational sac, yolk sac and fetal pole with HEART BEAT)",,,,,,
CANCER MARKER,0,0,investigation,yes,yes,CA 15-3 (Cancer Antigen),U/mL,<30 U/mL,,,,,,
CANCER MARKER,0,0,investigation,yes,yes,CA- 125 (Cancer Antigen),kU/L,0-35 units/mL (0-35 kU/L),,,,,,
CANCER MARKER,0,0,investigation,yes,yes,CA- 19-9 (Cancer Antigen),U/mL,0-37 U/mL,,,,,,
CANCER MARKER,0,0,investigation,yes,yes,CEA(Carcinoembryonic Antigen Test),ng/mL,0-3 ng/mL(nanogram/ml) or microgram/L (µgm/L),,,,,,
CANCER MARKER,0,0,investigation,yes,yes,PSA Free to total ratio,% of PSA or no unit,interpretation by physician only.,,,,,,
